Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
5,5,5,5,5,5
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
7,7,7,7,7,7
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,2
74,74,74,74,74,74
4,4,4,4,4,4
9,9,9,9,9,9
8,8,8,8,8,8
16,16,16,16,16,16
4,4,4,4,4,4
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
5,5,5,5,5,5
4,4,4,4,4,4
22,22,22,22,22,22
1,1,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
16,16,16,16,16,16
1,1,1,1,1,1
9,9,9,9,9,9
16,16,16,16,16,16
1,1,1,1,1,1
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
1,1,1,1,1,1
11,11,11,11,11,11
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
6,6,6,6,6,6
3,3,3,3,3,3
2,2,2,2,2,2
2,2,2,2,2,2
8,8,8,8,8,8
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
10,10,10,10,10,10
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
126,126,126,126,126,126
1,1,1,1,1,1
1,1,1,1,1,1
3,3,3,3,3,3
4,4,4,4,4,4
4,4,4,4,4,4
1,1,1,1,1,1
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
11,11,11,11,11,11
6,6,6,6,6,6
2,2,2,2,2,2
5,5,5,5,5,5
1,1,1,1,1,1
1,1,1,1,1,1
2,2,2,2,2,2
33,33,33,33,33,33
2,2,2,2,2,2
8,8,8,8,8,8
3,3,3,3,3,3
12,12,12,12,12,12
21,21,21,21,21,21
1,1,1,1,1,1
6,6,6,6,6,6
29,29,29,29,29,29
10,10,10,10,10,10
1,1,1,1,1,1
5,5,5,5,5,5
2,2,2,2,2,2
4,4,4,4,4,4
11,11,11,11,11,11
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
1,1,1,1,1,1
3,3,3,3,3,3
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
3,3,3,3,3,3
4,4,4,4,4,4
10,10,10,10,10,10
2,2,2,2,2,2
1,1,1,1,1,1
1,1,1,1,1,1
10,10,10,10,10,10
20,20,20,20,20,20
6,6,6,6,6,6
3,3,3,3,3,3
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
2,2,2,2,2,2
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
3,3,3,3,3,3
7,7,7,7,7,7
27,27,27,27,27,27
7,7,7,7,7,7
1,1,1,1,1,1
4,4,4,4,4,4
80,80,80,80,80,80
2,2,2,2,2,2
1,1,1,1,1,1
79,79,79,79,79,79
6,6,6,6,6,6
7,7,7,7,7,7
32,32,32,32,32,32
1,1,1,1,1,1
3,3,3,3,3,3
53,53,53,53,53,53
1,1,1,1,1,1
3,3,3,3,3,3
1,1,1,1,1,1
3,3,3,3,3,3
2,2,2,2,2,2
6,6,6,6,6,6
1,1,1,1,1,1
1,1,1,1,1,1
4,4,4,4,4,4
1,1,1,1,1,1
8,8,8,8,8,8
1,1,1,1,1,1
1,1,1,1,1,1
2,2,2,2,2,2
4,4,4,4,4,4
2,2,2,2,2,2
13,13,13,13,13,13
18,18,18,18,18,18
4,4,4,4,4,4
19,19,19,19,19,19
1,1,1,1,1,1
2,2,2,2,2,2
45,45,45,45,45,45
1,1,1,1,1,1
7,7,7,7,7,7
1,1,1,1,1,1
2,2,2,2,2,2
